time,id_probabilities1,id_probabilities2,id_probabilities3
90.880,1.000e+00,1.000e+00,1.000e+00
90.920,1.000e+00,1.000e+00,1.000e+00
90.960,1.000e+00,1.000e+00,1.000e+00
91.000,1.000e+00,1.000e+00,1.000e+00
91.040,1.000e+00,1.000e+00,1.000e+00
91.080,1.000e+00,1.000e+00,1.000e+00
91.120,1.000e+00,1.000e+00,1.000e+00
91.160,1.000e+00,1.000e+00,1.000e+00
91.200,1.000e+00,1.000e+00,1.000e+00
91.240,1.000e+00,1.000e+00,1.000e+00
91.280,1.000e+00,1.000e+00,1.000e+00
91.320,1.000e+00,1.000e+00,1.000e+00
91.360,1.000e+00,1.000e+00,1.000e+00
91.400,1.000e+00,1.000e+00,1.000e+00
91.440,1.000e+00,1.000e+00,1.000e+00
91.480,1.000e+00,1.000e+00,1.000e+00
91.520,1.000e+00,1.000e+00,1.000e+00
91.560,1.000e+00,1.000e+00,1.000e+00
91.600,1.000e+00,1.000e+00,1.000e+00
91.640,1.000e+00,1.000e+00,1.000e+00
91.680,1.000e+00,1.000e+00,1.000e+00
91.720,1.000e+00,1.000e+00,1.000e+00
91.760,1.000e+00,1.000e+00,nan
91.800,1.000e+00,1.000e+00,1.000e+00
91.840,1.000e+00,1.000e+00,1.000e+00
91.880,1.000e+00,1.000e+00,1.000e+00
91.920,1.000e+00,1.000e+00,1.000e+00
91.960,1.000e+00,1.000e+00,1.000e+00
92.000,1.000e+00,1.000e+00,1.000e+00
92.040,1.000e+00,1.000e+00,1.000e+00
92.080,1.000e+00,1.000e+00,1.000e+00
92.120,1.000e+00,1.000e+00,1.000e+00
92.160,1.000e+00,1.000e+00,1.000e+00
92.200,1.000e+00,1.000e+00,1.000e+00
92.240,1.000e+00,1.000e+00,1.000e+00
92.280,1.000e+00,1.000e+00,1.000e+00
92.320,1.000e+00,1.000e+00,1.000e+00
92.360,1.000e+00,1.000e+00,1.000e+00
92.400,1.000e+00,1.000e+00,1.000e+00
92.440,1.000e+00,1.000e+00,1.000e+00
92.480,1.000e+00,1.000e+00,1.000e+00
92.520,1.000e+00,1.000e+00,1.000e+00
92.560,1.000e+00,1.000e+00,1.000e+00
92.600,1.000e+00,1.000e+00,1.000e+00
92.640,1.000e+00,1.000e+00,1.000e+00
92.680,1.000e+00,1.000e+00,1.000e+00
92.720,1.000e+00,1.000e+00,1.000e+00
92.760,1.000e+00,1.000e+00,1.000e+00
92.800,1.000e+00,1.000e+00,1.000e+00
92.840,1.000e+00,1.000e+00,1.000e+00
92.880,1.000e+00,1.000e+00,1.000e+00
92.920,1.000e+00,1.000e+00,1.000e+00
92.960,1.000e+00,1.000e+00,1.000e+00
93.000,1.000e+00,1.000e+00,1.000e+00
93.040,1.000e+00,1.000e+00,1.000e+00
93.080,1.000e+00,1.000e+00,1.000e+00
93.120,1.000e+00,1.000e+00,1.000e+00
93.160,1.000e+00,1.000e+00,1.000e+00
93.200,1.000e+00,1.000e+00,1.000e+00
93.240,1.000e+00,1.000e+00,1.000e+00
93.280,1.000e+00,1.000e+00,1.000e+00
93.320,1.000e+00,1.000e+00,1.000e+00
93.360,1.000e+00,1.000e+00,1.000e+00
93.400,1.000e+00,1.000e+00,1.000e+00
93.440,1.000e+00,1.000e+00,1.000e+00
93.480,1.000e+00,1.000e+00,1.000e+00
93.520,1.000e+00,1.000e+00,1.000e+00
93.560,1.000e+00,1.000e+00,1.000e+00
93.600,1.000e+00,1.000e+00,1.000e+00
93.640,1.000e+00,1.000e+00,1.000e+00
93.680,1.000e+00,1.000e+00,1.000e+00
93.720,1.000e+00,1.000e+00,1.000e+00
93.760,1.000e+00,1.000e+00,1.000e+00
93.800,1.000e+00,1.000e+00,1.000e+00
93.840,1.000e+00,1.000e+00,1.000e+00
93.880,1.000e+00,1.000e+00,1.000e+00
93.920,1.000e+00,1.000e+00,1.000e+00
93.960,1.000e+00,1.000e+00,1.000e+00
94.000,1.000e+00,1.000e+00,1.000e+00
94.040,1.000e+00,1.000e+00,1.000e+00
94.080,1.000e+00,1.000e+00,1.000e+00
94.120,1.000e+00,1.000e+00,1.000e+00
94.160,1.000e+00,1.000e+00,1.000e+00
94.200,1.000e+00,1.000e+00,1.000e+00
94.240,1.000e+00,1.000e+00,1.000e+00
94.280,1.000e+00,1.000e+00,1.000e+00
